Object Number,Restuarant Name,Restaurant Street address,Restaurant City,State,year opened,year closed,Owner surname(s),Is it in the 1960 Catalog?,pattern,earliest year for artifact,latest year for artifact,Pattern varient,Additional Design,Vessel form,rim diameter (cm),vessel height (in cm),thickness of vessel walls (in mm),thickness of lip (in mm),foot rim diameter (cm),height of foot (in mm),Mark (use letter code sheet),"sticker (use code, 0=none)",volume of cup or teapot in ml,weight (in grams),Additional design
FSL-376,0,0,0,0,,,,,Bird and Flower,,,BF III,design includes red bat ,saucer,,,,,,,B,0,,,
FSL-377,0,0,0,0,,,,,Bird and Flower,,,BF III,design includes red bat ,saucer,,,,,,,B,0,,,
FSL-378,0,0,0,0,,,,,Bird and Flower,,,BF III,design includes red bat ,saucer,,,,,,,B,0,,,
FSL-379,0,0,0,0,,,,,Bird and Flower,,,BF III,design includes red bat ,saucer,,,,,,,B,0,,,
FSL-380,0,0,0,0,,,,,Bird and Flower,,,BF III,design includes red bat on plate face as well as 2 addidtional bats on outer rim of plate,raised plate,,,,,,,D,0,,,
FSL-289, Canton Cafe Twin Dragon Lounge,,Cottage Grove,OR,,,,,two women/characters,,,,Chinese characters,tea bowl,7.72 cm,5.44,6.66,8.29,3.82,4.5,G,0,108,160.8,
FSL-158,24/66 Restaurant,US 24 Highway & K14,Beloit,KS,,,,,God of Longevity,,,,"Arrow Shape Separating 24 and 66, Like a Neon Sign",Ash Tray,10.00 cm,2.50 cm,6.03 mm,,5.00 cm,,D,0,,103.19 g,
FSL-395 ,3 Towers Restaurant,2609 N. 3rd,Enid,OK,,,,,Two Women,,,TW I,4 Chinese characters above address,tea cup,,,,,,,B,0,,,Chinese & American Foods
FSL-109,Ace Chop Suey,7001 E. 14th St.,Oakland,CA,1942,,,yes,Women/Characters,,,C-VI ,,Tea Cup,8.00 cm,5.00 cm,5.28 mm,7.11 mm,3.50 cm,3.00 mm,B,0,110.00 ml,125.07 g,
FSL-410,Ah Fong's Cantonese Food,4841 Church St.,Skokie,IL,,,,,Two Women,,,TW II,,saucer,,,,,,,G,0,,,Foods To Take Out; Phone CR-4-6474
FSL-304,Al's Chop Suey,3731 E. 14th St. ,Oakland,CA,,,,yes,Dragon/Phoenix,,1983,DPV,,Tea Cup,7.5 cm,5 cm,5.9 mm,7.5 mm,3.3 cm,2 mm,K,0,102.5 ml,139.7 g,Chinese characters below address
FSL-146,Albert Gee's Ding-How,6800 S. Main ,Houston,TX,,,,yes,Women/Characters,,,,,Tea Cup,7.50 cm,5.00 cm,4.29 mm,6.56 mm,4.00 cm,3.00 cm,B,0,110.00 ml,128.76 g,
FSL-411,Albert's,6425 E Kellogg,Wichita ,KA,,,,yes,Two Women,,,TW I,,tea cup,,,,,,,J,0,,,
FSL-110,Asia Chop Suey,859 N. Hawthorne Blvd.,Hawthorne,CA,,,,yes,Dragon/Phoenix,,1983,A-V,,Tea Cup,7.50 cm,5.00 cm,5.49 mm,7.12 mm,3.50 cm,3.00 mm,B,0,110.00 ml,125.27 g,
FSL-413,Asia Low,0,Oakland,CA,,,,yes,Dragon and Phoenix,,1983,DP III,3 red Chinese characters below city/state,tea cup,,,,,,,B,0,,,
FSL-117,Bamboo Garden,8844 S. Vermont Ave.,Los Angeles,CA,,,,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,4.47 mm,,5.00 cm,,D,Yes: Japan,,93.90 g,
FSL-118,Bamboo Sky Chinese & American Restaurant,490 S. Main ,Orange,CA,,,,,Individualized Logo,,,,"Bamboo, Clouds, Sky",Ash Tray,10.00 cm,2.50 cm,6.62 mm,,5.00 cm,,C,0,,118.62 g,
FSL-402,Bill Lee's Bamboo Chopsticks,18th and M St.,Bakersfield,CA,,,,yes,Dragon and Phoenix,,1983,DP IV,2 green Chinese characters inside cup,tea cup,,,,,,,J,0,,,Address has faded
