__key,lon,lat,Object Number,Restaurant Street address,Restaurant City,State,year opened,year closed,Owner surname(s),Is it in the 1960 Catalog?,pattern,earliest year for artifact,latest year for artifact,Pattern varient,Additional Design,Vessel form,rim diameter (cm),vessel height (in cm),thickness of vessel walls (in mm),thickness of lip (in mm),foot rim diameter (cm),height of foot (in mm),Mark (use letter code sheet),"sticker (use code, 0=none)",volume of cup or teapot in ml,weight (in grams),Additional design
CHINESE TEA ROOM,-123.2608772,44.5650133,FSL-005,128 N. 3rd. St.,Corvallis,OR,,,,,Women / Characters,,,,,Tea Cup,8,5.50 cm,6.33 mm,8.00 mm,4.00 cm,3.00 mm,B,0,104.00 ml,154.00 g,
MING'S,-123.1195696,44.076913,FSL-088,17812 S. Bellflower Blvd.,Bellflower,CA,1952.0,2018.0,,,Women / Characters,,,,,Tea Cup,7.50 cm,5.00 cm,7.21 mm,8.06 mm,4.00 cm,3.00 mm,D,0,110.00 ml,142.80 g,
CHINESE LANTERN,-122.7834267,45.4933732,FSL-187,2120 S. Atlantic Ave.,Daytona Beach,FL,,,,,Women / Characters,,,,,Tea Cup,8.00 cm,5.00 cm,5.51 mm,7.05 mm,4.00 cm,3.00 mm,D,0,110.00 ml,134.90 g,
NAN,-122.633226,45.4185097,FSL-376,,,,,,,,Bird and Flower,,,BF III,design includes red bat ,Saucer,,,,,,,B,0,,,
NAN,-122.633226,45.4185097,FSL-377,,,,,,,,Bird and Flower,,,BF III,design includes red bat ,Saucer,,,,,,,B,0,,,
NAN,-122.633226,45.4185097,FSL-378,,,,,,,,Bird and Flower,,,BF III,design includes red bat ,Saucer,,,,,,,B,0,,,
NAN,-122.633226,45.4185097,FSL-379,,,,,,,,Bird and Flower,,,BF III,design includes red bat ,Saucer,,,,,,,B,0,,,
NAN,-122.633226,45.4185097,FSL-380,,,,,,,,Bird and Flower,,,BF III,design includes red bat on plate face as well as 2 addidtional bats on outer rim of plate,Plate,,,,,,,D,0,,,
NAN,-122.633226,45.4185097,FSL-216,,,,,,,,Individualized Logo,,,,"Red Dragon depicted along with a Red Sun, Wind, Thunder, and Two Symbols ",Tea Cup,8.00 cm,5.50 cm,5.98 mm,7.47 mm,4.00 cm,5.00 mm,C,0,110.00 ml,137.95 g,
NAN,-122.633226,45.4185097,FSL-217,,,,,,,,Individualized Logo,,,,"Red Dragon depicted along with a Red Sun, Wind, and Thunder ",Tea Cup,8.00 cm,5.50 cm,6.23 mm,7.31 mm,4.00 cm,5.00 mm,C,0,110.00 ml,141.15 g,
NAN,-122.633226,45.4185097,FSL-218,,,,,,,,Dragon and Phoenix,,1983.0,,,Tea Cup,8.00 cm,5.50 cm,6.14 mm,7.76 mm,3.50 cm,5.00 mm,C,0,110.00 ml,143.00 g,
NAN,-122.633226,45.4185097,FSL-219,,,,,,,,Dragon and Phoenix,,1983.0,,,Tea Cup,7.50 cm,5.50 cm,6.17 mm,6.83 mm,4.00 cm,5.00 mm,G,0,110.00 ml,141.86 g,
NAN,-122.633226,45.4185097,FSL-220,,,,,,,,Dragon and Phoenix,,1983.0,,,Tea Cup,8.00 cm,5.50 cm,5.93 mm,7.26 mm,4.00 cm,5.00 mm,C,0,110.00 ml,138.42 g,
NAN,-122.633226,45.4185097,FSL-221,,,,,,,,Women / Characters,,,,,Tea Cup,8.00 cm,5.50 cm,6.43 mm,8.33 mm,4.00 cm,4.00 mm,I,0,120.00 ml,146.60 g,
NAN,-122.633226,45.4185097,FSL-222,,,,,,,,Dragon and Phoenix,,1983.0,,,Tea Cup,8.00 cm,5.50 cm,6.26 mm,7.29 mm,4.00 cm,5.00 mm,,0,110.00 ml,142.22 g,
NAN,-122.633226,45.4185097,FSL-223,,,,,,,,Dragon and Phoenix,1983,,, ,Tea Cup,8.00 cm,5.50 cm,6.26 mm,7.90 mm,4.00 cm,4.00 mm,I,0,110.00 ml,150.93 g,
NAN,-122.633226,45.4185097,FSL-224,,,,,,,,Dragon and Phoenix,,1983.0,,,Tea Cup,8.00 cm,5.00 cm,5.78 mm,7.11 mm,4.00 cm,3.00 mm,B,0,110.00 ml,140.40 g,
NAN,-122.633226,45.4185097,FSL-225,,,,,,,,Dragon and Phoenix,1983,,, ,Tea Cup,8.00 cm,5.50 cm,6.89 mm,7.48 mm,4.00 cm,6.00 mm,C,0,110.00 ml,147.79 g,
NAN,-122.633226,45.4185097,FSL-226,,,,,,,,Lustre Floral,,1960.0,,,Tea Cup,7.50 cm,5.50 cm,6.15 mm,5.34 mm,3.00 cm,4.00 mm,B,0,90.00 ml,141.82 g,
NAN,-122.633226,45.4185097,FSL-227,,,,,,,,Lustre Floral,,1960.0,,,Tea Cup,7.50 cm,5.50 cm,6.07 mm,5.61 mm,3.00 cm,4.00 mm,B,0,90.00 ml,137.83 g,
NAN,-122.633226,45.4185097,FSL-228,,,,,,,,Lustre Floral,,1960.0,,,Tea Cup,7.50 cm,5.50 cm,6.70 mm,6.52 mm,3.00 cm,4.00 mm,B,0,90.00 ml,140.24 g,
NAN,-122.633226,45.4185097,FSL-229,,,,,,,,Lustre Floral,,1960.0,,,Tea Cup,7.50 cm,5.50 cm,5.81 mm,5.58 mm,3.00 cm,4.00 mm,B,0,90.00 ml,125.30 g,
NAN,-122.633226,45.4185097,FSL-230,,,,,,,,Dragon and Phoenix,,1983.0,,Thunder and Wind,Tea Cup,8.00 cm,5.50 cm,6.07 mm,7.29 mm,4.00 cm,5.00 mm,,0,110.00 ml,132.93 g,
NAN,-122.633226,45.4185097,FSL-231,,,,,,,,Women / Characters,,,,"""precious like jade""",Tea Cup,8.00 cm,5.50 cm,5.98 mm,6.84 mm,4.00 cm,5.00 mm,C,0,110.00 ml,148.76 g,
NAN,-122.633226,45.4185097,FSL-232,,,,,,,,Dragon and Phoenix,1983,,, ,Tea Cup,8.00 cm,5.50 cm,6.13 mm,7.73 mm,4.00 cm,4.00 mm,I,0,110.00 ml,150.24 g,
NAN,-122.633226,45.4185097,FSL-233,,,,,,,,Dragon and Phoenix,,1983.0,,Thunder   ,Tea Cup,7.50 cm,5.50 cm,4.18 mm,2.79 mm,3.00 cm,4.00 mm,E,0,110.00 ml,83.66 g,
NAN,-122.633226,45.4185097,FSL-234,,,,,,,,Dragon and Phoenix,1983,,, ,Tea Cup,8.00 cm,5.50 cm,5.85 mm,7.66 mm,4.00 cm,5.00 mm,C,0,110.00 ml,137.70 g,
NAN,-122.633226,45.4185097,FSL-235,,,,,,,,Dragon and Phoenix,,1983.0,,Thunder and Wind,Tea Cup,8.00 cm,5.50 cm,5.78 mm,7.41 mm,4.00 cm,5.00 mm,,0,110.00 ml,136.55 g,
NAN,-122.633226,45.4185097,FSL-236,,,,,,,,Lustre Floral,,1960.0,,Thunder and Wind,Tea Cup,7.50 cm,5.50 cm,5.89 mm,5.97 mm,3.00 cm,4.00 mm,B,0,110.00 ml,131.21 g,
NAN,-122.633226,45.4185097,FSL-237,,,,,,,,Dragon and Phoenix,1983,,, ,Tea Cup,8.00 cm,5.50 cm,6.64 mm,8.38 mm,4.00 cm,3.00 mm,I,0,110.00 ml,145.06 g,
NAN,-122.633226,45.4185097,FSL-238,,,,,,,,Women / Characters,,,,"""precious like jade""",Tea Cup,8.00 cm,5.50 cm,6.17 mm,7.68 mm,4.00 cm,6.00 mm,G,0,110.00 ml,149.35 g,
NAN,-122.633226,45.4185097,FSL-239,,,,,,,,Dragon and Phoenix,1983,,, ,Tea Cup,8.00 cm,5.50 cm,6.11 mm,7.37 mm,4.00 cm,5.00 mm,C,0,110.00 ml,141.88 g,
NAN,-122.633226,45.4185097,FSL-240,,,,,,,,Lustre Floral,,1960.0,,,Tea Cup,7.50 cm,5.50 cm,5.18 mm,6.11 mm,3.00 cm,4.00 mm,B,0,110.00 ml,128.74 g,
NAN,-122.633226,45.4185097,FSL-241,,,,,,,,Lustre Floral,,1960.0,,,Tea Cup,7.50 cm,5.50 cm,5.37 mm,6.19 mm,3.50 cm,4.00 mm,B,0,110.00 ml,126.00 g,
NAN,-122.633226,45.4185097,FSL-242,,,,,,,,Women / Characters,,,,"""precious like jade""",Tea Cup,8.00 cm,5.50 cm,7.09 mm,7.90 mm,4.00 cm,3.00 mm,I,0,120.00 ml,148.83 g,
NAN,-122.633226,45.4185097,FSL-243,,,,,,,,Dragon and Phoenix,1983,,,Thunder and Wind,Tea Cup,8.00 cm,5.50 cm,5.87 mm,7.63 mm,4.00 cm,5.00 mm,,0,120.00 ml,137.84 g,
NAN,-122.633226,45.4185097,FSL-244,,,,,,,,God of Longevity,,,,,Tea Cup,9.00 cm,5.50 cm,2.45 mm,2.15 mm,5.00 cm,7.00 mm,D,0,210.00 ml,85.10 g,
NAN,-122.633226,45.4185097,FSL-245,,,,,,,,Bird and Flower,,,,,Ash Tray,10.00 cm,2.50 cm,4.76 mm,,5.00 cm,,D,0,,90.77 g,
NAN,-122.633226,45.4185097,FSL-246,,,,,,,,Bird and Flower,,,,,Ash Tray,10.00 cm,2.50 cm,5.02 mm,,5.00 cm,,D,0,,90.38 g,
NAN,-122.633226,45.4185097,FSL-247,,,,,,,,Bird and Flower,,,,,Ash Tray,10.00 cm,2.50 cm,4.80 mm,,5.00 cm,,D,0,,89.31 g,
NAN,-122.633226,45.4185097,FSL-248,,,,,,,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,4.97 mm,,14.00 cm,,D,0,,95.86 g,
NAN,-122.633226,45.4185097,FSL-249,,,,,,,,Dragon and Phoenix,1983,,,,Plate,21.00 cm,2.50 cm,5.58 mm,,14.00 cm,,I,Yes: Japan,,303.81 g,
NAN,-122.633226,45.4185097,FSL-250,,,,,,,,God of Longevity,,,,,Plate,20.50 cm,2.50 cm,6.10 mm,,14.00 cm,,F,0,,388.35 g,
NAN,-122.633226,45.4185097,FSL-251,,,,,,,,Dragon and Phoenix,1983,,,,Plate,21.00 cm,2.50 cm,5.88 mm,,14.00 cm,,F,0,,374.62 g,
NAN,-122.633226,45.4185097,FSL-252,,,,,,,,God of Longevity,,,,,Plate,21.00 cm,2.50 cm,5.69 mm,,14.00 cm,,F,0,,396.14 g,
NAN,-122.633226,45.4185097,FSL-253,,,,,,,,God of Longevity,,,,,Plate,21.00 cm,2.50 cm,6.10 mm,,14.00 cm,,F,0,,342.15 g,
NAN,-122.633226,45.4185097,FSL-254,,,,,,,,God of Longevity,,,,,Plate,21.00 cm,2.50 cm,5.49 mm,,14.00 cm,,I,Yes: Japan,,388.70 g,
NAN,-122.633226,45.4185097,FSL-255,,,,,,,,Custom / Misc Pattern,,,,Hexeganol Pattern with Four Symbols inside of Red Circles ,Plate,18.00 cm,2.00 cm,3.49 mm,,11.00 cm,,A,0,,264.64 g,
NAN,-122.633226,45.4185097,FSL-256,,,,,,,,Custom / Misc Pattern,,,,Hexeganol Pattern with Four Symbols inside of Red Circles ,Plate,18.00 cm,2.00 cm,3.70 mm,,11.00 cm,,A,0,,263.49 g,
NAN,-122.633226,45.4185097,FSL-257,,,,,,,,Custom / Misc Pattern,,,,Hexeganol Pattern with Four Symbols inside of Red Circles ,Plate,18.00 cm,2.00 cm,3.74 mm,,11.00 cm,,A,0,,267.92 g,
NAN,-122.633226,45.4185097,FSL-258,,,,,,,,God of Longevity,,,,Four Symbols ,Saucer,14.00 cm,2.00 cm,3.50 mm,,7.50 cm,,A,0,,134.63 g,
